Envelop	Sr. No	Fields	Values	Is Lookup	Used	Mapping
AxdPurchaseRequisition	1	DocPurpose	Original			
	2	SenderId	USMF			
"VendPurchOrderJour
(PO Journal Header)"	1	_DocumentHash	00e914a97bb689192f7384b708c3036b			
	2	Amount	421.65			
	3	AmountPurchaseOrder	Yes			
	4	ConfirmingPO				
	5	CountryRegionId				
	6	DeliveryName	Contoso Entertainment System USA			
	7	ExchRate	100.000000000000			
	8	InterCompanyPosted	No			
	9	IsPrepay	No			
	10	OrderAccount	000001			
	11	ParmId	011085			
	12	PurchaseOrderId	000037			
	13	PurchaseOrderVoucher				
	14	PurchId	000837			
	15	PurchOrderDate	2015-03-17			
	16	PurchOrderDocNum	000837-1			
	17	Qty	3.00			
	18	RecId	35637183643			
	19	RecVersion	1			
	20	SalesOrderbalance	421.65			
	21	Triangulation	No			
"PurchTableAllVersions
(PO Header)"	1	AccountingDate	2015-03-17			
	2	AddressRefRecId	22565422580			
	3	AddressRefTableId	41			
	4	AutoSummaryModuleType	Vend			
	5	BankCentralBankPurposeCode				
	6	BankCentralBankPurposeText				
	7	BankDocumentType	None			
	8	CashDisc				
	9	ContactPersonId				
	10	CountyOrigDest				
	11	CurrencyCode	USD			
	12	DefaultDimension				
	13	DeliveryDate	2015-03-17			
	14	DeliveryName	Contoso Entertainment System USA			
	15	DeliveryPostalAddress	52565469633			
	16	DeliveryType	None			
	17	DlvMode	30			
	18	DlvTerm	FOB			
	19	DocumentState	Confirmed			
	20	DocumentStatus	PurchaseOrder			
	21	Email				
	22	EndDisc				
	23	EnterpriseNumber				
	24	FreightSlipType	None			
	25	FreightZone				
	26	InclTax	No			
	27	InterCompanyAllowIndirectCreation	No			
	28	InterCompanyCompanyId				
	29	InterCompanyCustPurchOrderFormNum				
	30	InterCompanyDirectDelivery	No			
	31	InterCompanyOrder	No			
	32	InterCompanyOrigin	Source			
	33	InterCompanyOriginalCustAccount				
	34	InterCompanyOriginalSalesId				
	35	InterCompanySalesId				
	36	InventLocationId				
	37	InventSiteId				
	38	InvoiceAccount	000001			
	39	IsEncumbranceRequired	No			
	40	ItemBuyerGroupId				
	41	LanguageId	en-us			
	42	LineDisc				
	43	Listcode	IncludeNot			
	44	MarkupGroup				
	45	MultiLineDisc				
	46	NumberSequenceGroup				
	47	OneTimeVendor	No			
	48	OrderAccount	000001			
	49	Payment	Net30			
	50	PaymentSched				
	51	PaymMode				
	52	PaymSpec				
	53	Port				
	54	PostingProfile	GEN			
	55	PriceGroupId				
	56	ProjId				
	57	PurchaseType	Purch			
	58	PurchId	000837			
	59	PurchName	Active Systems			
	60	PurchPoolId	01			
	61	PurchStatus	Backorder			
	62	PurchTableVersionRecId	35637183643			
	63	RecId	52565465241			
	64	ReqAttention	Building B - 5066			
	65	Requester	22565420976			
	66	ReturnItemNum				
	67	ReturnReasonCodeId				
	68	ReturnReplacementCreated	No			
	69	SettleVoucher	None			
	70	SourceDocumentHeader	52565577158			
